Y,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14
4,8,1,2,0,1,1,2,2,3,3,2,1,2,P
4,5,1,1,1,3,1,5,3,3,3,1,1,4,N
4,5,1,2,0,7,1,5,4,4,3,1,5,4,O
4,8,1,2,0,7,1,6,5,2,5,3,4,2,X
4,8,1,1,0,1,1,5,5,3,2,1,1,4,4
4,5,1,1,0,1,2,6,4,5,5,3,2,4,X
3,8,2,3,0,6,1,1,1,4,2,2,3,1,1
4,4,0,2,0,2,1,3,3,6,2,2,4,2,M
4,8,2,2,0,1,1,3,4,1,3,3,3,1,Q
2,8,1,2,0,7,1,2,1,4,2,1,5,2,J
3,4,1,1,2,3,1,2,2,6,3,2,2,4,P
4,5,1,1,0,1,1,3,2,4,2,2,1,1,M
4,7,1,2,0,7,1,5,3,4,3,1,5,2,O
4,3,1,2,0,7,1,3,3,4,4,3,2,2,H
4,6,1,2,0,2,2,5,3,4,3,2,3,4,B
4,2,0,1,0,1,1,6,5,1,2,2,1,1,E
4,7,2,2,0,2,1,4,3,4,3,2,3,2,2
3,6,1,1,0,1,1,5,4,5,3,1,1,1,N
4,3,1,2,0,7,1,3,2,4,2,2,5,2,1
3,5,1,1,0,1,2,4,5,6,3,2,1,1,B
1,5,1,1,0,1,1,3,3,6,4,2,1,4,Y
4,8,2,2,0,2,1,1,1,5,3,1,3,1,5
1,8,2,2,0,7,1,2,2,4,3,2,4,2,B
4,7,2,3,0,6,1,6,2,3,1,1,3,1,L
5,3,1,2,0,7,1,1,3,5,3,1,5,2,O
3,6,0,1,0,1,1,5,5,6,3,3,1,4,Q
4,8,2,2,0,7,1,4,4,6,2,2,5,2,M
3,8,2,2,2,4,1,1,1,2,2,1,3,1,J
3,8,1,2,0,2,1,5,4,6,2,2,3,1,M
3,7,1,1,0,1,1,3,1,6,3,2,1,2,P
3,8,1,2,0,2,2,3,1,1,3,2,3,4,B
4,7,1,1,0,8,2,1,1,4,3,3,2,2,Q
3,8,2,2,0,2,2,3,1,6,4,2,3,1,Y
